Price,Close,High,Low,Open,Volume
Ticker,PLTR,PLTR,PLTR,PLTR,PLTR
Date,,,,,
2025-05-27,123.38999938964844,127.87999725341797,120.87999725341797,126.81999969482422,86455200
2025-05-28,123.76000213623047,125.6500015258789,122.91000366210938,124.2300033569336,64866000
2025-05-29,122.31999969482422,126.47000122070312,121.52999877929688,125.3499984741211,63137900
2025-05-30,131.77999877929688,131.94000244140625,122.75,123.52999877929688,185897600
2025-06-02,132.0399932861328,134.47999572753906,128.86000061035156,131.43499755859375,93218700
2025-06-03,133.1699981689453,135.27999877929688,130.10000610351562,133.07000732421875,91297700
2025-06-04,130.00999450683594,132.9499969482422,125.58000183105469,132.8000030517578,97306300
2025-06-05,119.91000366210938,132.85000610351562,118.93000030517578,129.27000427246094,131055900
2025-06-06,127.72000122070312,128.1300048828125,121.91999816894531,123.7300033569336,87175100
2025-06-09,132.05999755859375,132.22999572753906,124.80000305175781,127.07499694824219,74785600
2025-06-10,132.80999755859375,134.07000732421875,129.41000366210938,131.02000427246094,69308900
2025-06-11,136.38999938964844,140.0,132.99000549316406,133.9199981689453,97366000
2025-06-12,135.19000244140625,137.10000610351562,134.6300048828125,136.39999389648438,56248200
2025-06-13,137.39999389648438,139.99000549316406,133.35000610351562,133.81500244140625,93519000
2025-06-16,141.41000366210938,144.86000061035156,139.81199645996094,140.02999877929688,80779800
2025-06-17,138.1999969482422,141.69000244140625,136.0800018310547,141.48500061035156,70479100
2025-06-18,139.9600067138672,140.36000061035156,137.49000549316406,139.0399932861328,58260200
2025-06-20,137.3000030517578,142.24000549316406,136.74200439453125,140.69000244140625,87067000
2025-06-23,139.9199981689453,142.14999389648438,135.9600067138672,138.89999389648438,70501100
2025-06-24,143.22999572753906,143.66000366210938,137.8000030517578,140.97999572753906,58574200
2025-06-25,142.89999389648438,147.6699981689453,141.52999877929688,144.49000549316406,61435300
2025-06-26,144.25,148.21499633789062,142.91000366210938,144.85000610351562,69305100
