Date,Close,High,Low,Open,Volume,ema_5,sma_5,ema_10,sma_10,ema_20,sma_20,return_1d,return_5d,rsi_14
2024-12-20,5930.85009765625,5982.06005859375,5832.2998046875,5842.0,8223220000,5945.820969556315,5958.9560546875,5980.9718103117375,6006.90703125,5988.514373947265,6021.371508789062,0.010869123768910471,-0.019870758689518042,45.06013893722187
2024-12-23,5974.06982421875,5978.25,5902.56982421875,5940.25,3593280000,5955.237254443793,5938.95400390625,5979.716903749376,5999.02900390625,5987.138702544549,6021.6080078125,0.007287273468533639,-0.016465086501974757,49.70269663863634
2024-12-24,6040.0400390625,6040.10009765625,5981.43994140625,5984.6298828125,1757720000,5983.504849316696,5936.8400390625,5990.68474653358,5999.5419921875,5992.176925070069,6024.24150390625,0.01104275925539211,-0.0017469022887913743,55.837169144944305
2024-12-26,6037.58984375,6049.75,6007.3701171875,6024.97021484375,2904530000,6001.533180794464,5969.9259765625,5999.2129460274755,5994.881982421875,5996.501964944348,6025.039501953125,-0.00040565878647391695,0.02817186232972979,55.56610009759892
2024-12-27,5970.83984375,6006.169921875,5932.9501953125,6006.169921875,3159610000,5991.30206844631,5990.6779296875,5994.054200158844,5986.840966796875,5994.05795340203,6023.644482421875,-0.011055736101235558,0.01768507745647807,48.63865150288025
2024-12-30,5906.93994140625,5940.7900390625,5869.16015625,5920.669921875,3433250000,5963.181359432957,5985.8958984375,5978.215244022008,5972.4259765625,5985.760999878622,6017.372485351562,-0.010701995701766776,-0.004031488885454904,43.09920625001083
2024-12-31,5881.6298828125,5929.740234375,5868.85986328125,5919.740234375,3128350000,5935.997533892805,5967.40791015625,5960.654269256642,5953.18095703125,5975.84375063423,6009.096484375,-0.004284800394927402,-0.015473528787946278,41.102427876689546
2025-01-02,5868.5498046875,5935.08984375,5829.52978515625,5903.259765625,3621680000,5913.514957491037,5933.10986328125,5943.908002971342,5934.974951171875,5965.6252795916835,6000.02998046875,-0.0022238866412221947,-0.028392234698102703,40.06925329652248
2025-01-03,5942.47021484375,5949.33984375,5888.66015625,5891.06982421875,3667340000,5923.166709941942,5914.0859375,5943.6465869481435,5942.00595703125,5963.420035329976,5992.8289794921875,0.01259602672149196,-0.01575456951662857,48.021164081919856
2025-01-06,5975.3798828125,6021.0400390625,5960.009765625,5982.81005859375,4940120000,5940.571100898795,5914.9939453125,5949.416277105299,5952.8359375,5964.559068423549,5987.84248046875,0.005538045085450305,0.0007603685882233702,51.130068408821764
2025-01-07,5909.02978515625,6000.68017578125,5890.68017578125,5993.259765625,4517330000,5930.057328984613,5915.4119140625,5942.073278569108,5950.65390625,5959.270565255235,5978.78046875,-0.01110391288210788,0.00035379465014551137,45.25335706019623
2025-01-08,5918.25,5927.89013671875,5874.77978515625,5910.66015625,4441740000,5926.121552656409,5922.7359375,5937.741773374724,5945.071923828125,5955.363844754736,5972.050463867187,0.001560360190925314,0.006226185244078808,46.179105638905476
2025-01-10,5827.0400390625,5890.35009765625,5807.77978515625,5890.35009765625,4751930000,5893.09438145844,5914.433984375,5917.614185317956,5923.771923828125,5943.142529926904,5961.656958007812,-0.01541164380306681,-0.007073257790509713,39.130037111236206
2025-01-13,5836.22021484375,5838.60986328125,5773.31005859375,5782.02001953125,4421200000,5874.13632592021,5893.183984375,5902.815281595373,5903.6349609375,5932.959452299937,5949.258471679687,0.0015754440882007614,-0.017879769886704255,40.12076832261083
2025-01-14,5842.91015625,5871.919921875,5805.419921875,5859.27001953125,4142280000,5863.727602696807,5866.6900390625,5891.923440623486,5890.8419921875,5924.38332886661,5938.841479492187,0.0011462798112440442,-0.022169256040696972,40.875986982942585
