Date,Close,High,Low,Open,Volume,ema_5,sma_5,ema_10,sma_10,ema_20,sma_20,return_1d,return_5d,rsi_14
2025-01-27,75.44000244140625,76.72000122070312,72.66999816894531,74.06999969482422,76093300,75.95787335042903,76.66800231933594,74.575074772128,72.3380012512207,74.80977073616562,73.69450073242187,-0.04482148347764747,0.05113565514837459,34.532264039110515
2025-01-28,80.2300033569336,80.73999786376953,74.04000091552734,75.54000091552734,65916700,77.38191668593055,78.10000305175781,75.60324360572902,73.86300125122071,75.32598336671494,73.59900093078613,0.06349417763139265,0.09798828099100887,43.12729264757968
2025-01-29,79.76000213623047,80.81999969482422,77.80999755859375,79.94999694824219,49262200,78.17461183603052,78.6780029296875,76.359017884002,75.24800109863281,75.74827086857356,73.63300094604492,-0.005858172766267322,0.03759593191606769,42.53717752133641
2025-01-30,81.22000122070312,81.83000183105469,79.37999725341797,80.0199966430664,46067500,79.18974163092139,79.12600250244141,77.24283303612947,76.55600128173828,76.26938804496686,73.83500099182129,0.018304902775440945,0.02836158228110386,45.052373165293474
2025-01-31,82.48999786376953,85.22000122070312,80.87000274658203,81.0,79000200,80.28982704187078,79.8280014038086,78.1968630047913,77.88100128173828,76.86182707532902,74.17800102233886,0.015636501157090477,0.044441559352349724,47.21666737855472
2025-02-03,83.73999786376953,84.25,78.47000122070312,80.125,126592700,81.4398839825037,81.48800048828124,79.2047057064237,79.0780014038086,77.5168909599424,74.60550079345703,0.01515335231386894,0.11002114466804036,49.33206815379657
2025-02-04,103.83000183105467,106.91000366210938,100.51000213623048,102.8000030517578,230806800,88.90325659868736,86.20800018310547,83.68203227453841,82.15400161743165,80.02290151909595,75.80250091552735,0.23990929639105185,0.29415427504256164,70.08387408810107
2025-02-05,101.36000061035156,103.56999969482422,99.31999969482422,101.77999877929688,90628300,93.05550460257544,90.52799987792969,86.89620833559535,84.60300140380859,82.05500619445364,77.07450103759766,-0.023788897015740496,0.2708124109278256,66.47885097990184
2025-02-06,111.27999877929688,111.54499816894533,100.26000213623048,101.08999633789062,128217500,99.13033599481592,96.53999938964844,91.3296247799047,87.83300094604492,84.83833882158157,79.13900108337403,0.0978689631926879,0.37010584962822435,72.57936658522557
2025-02-07,110.8499984741211,116.3000030517578,110.4499969482422,111.66000366210938,143795400,103.03689015458431,102.21199951171874,94.87878363339858,91.02000045776367,87.31563974087105,81.2700008392334,-0.0038641293124797027,0.3437992646961574,71.96796198058576
2025-02-10,116.6500015258789,116.76000213623048,108.72000122070312,112.02999877929688,99938100,107.57459394501586,108.79400024414062,98.83718688657682,95.14100036621093,90.10938848230037,83.73950080871582,0.0523229872042974,0.3930022032678846,75.0241492579451
2025-02-11,112.62000274658205,118.66000366210938,112.0999984741211,116.5,94311700,109.25639687887126,110.5520004272461,101.34315340657776,98.38000030517578,92.25325650747007,86.12150077819824,-0.034547781625213325,0.08465762073114358,69.36529024761168
2025-02-12,117.38999938964844,117.58999633789062,110.0,110.29000091552734,75316900,111.96759771579698,113.75800018310547,104.26076176713605,102.14300003051758,94.64723202005848,88.6955005645752,0.042354790683142296,0.15814915827516063,72.05231392199178
2025-02-13,117.91000366210938,118.38999938964844,115.1500015258789,117.30999755859376,60027000,113.94839969790112,115.08400115966796,106.74244211167665,105.8120002746582,96.86273408120618,91.18400077819824,0.004429715266757173,0.05957948378451983,72.33717153352163
2025-02-14,119.16000366210938,120.66999816894533,116.8000030517578,117.9000015258789,65528900,115.68560101930389,116.74600219726562,109.00018057539168,109.47900085449218,98.98628356510173,93.68000106811523,0.010601305751648304,0.0749662183344848,73.04831253411305
2025-02-18,124.62000274658205,125.0,118.43000030517578,120.94000244140624,84227200,118.66373492839661,118.34000244140626,111.84014824288083,113.56700134277344,101.42759015381414,96.32250137329102,0.0458207361251437,0.06832405586325674,75.95591261725484
2025-02-19,112.05999755859376,125.41000366210938,108.55999755859376,123.86000061035156,147487300,116.46248913846233,118.22800140380859,111.88012084573774,114.39000091552734,102.44020038284077,98.27200126647949,-0.10078643003667209,-0.004972519750762294,59.93721502585464
2025-02-20,106.2699966430664,107.4000015258789,95.8000030517578,102.91000366210938,243093900,113.06499163999703,116.00400085449219,110.86009826343385,114.88100051879883,102.80494288381465,99.74200096130372,-0.051668758180187235,-0.09472700233749731,54.25664345014895
2025-02-21,101.3499984741211,109.06999969482422,100.0,107.68000030517578,129063200,109.1599939180384,112.69199981689454,109.13098921083153,113.88800048828125,102.66637674955811,100.86050071716309,-0.04629715182423799,-0.14044614259739752,49.92654306112151
2025-02-24,90.68000030517578,99.01000213623048,89.30000305175781,95.87999725341795,184485000,102.9999960470842,106.99599914550781,105.77626395525775,111.87100067138672,101.52481708818836,101.4455005645752,-0.10527872056820808,-0.2390063988055221,42.082641698111814
2025-02-25,87.83999633789062,91.6999969482422,85.25,90.6500015258789,132626300,97.94666281068635,99.63999786376954,102.51512438846373,108.9900001525879,100.22150082625524,102.06550025939941,-0.03131896733267936,-0.2951372620612479,40.26916277245872
2025-02-26,89.30999755859375,91.69000244140624,87.58999633789062,89.16000366210938,94428700,95.06777439332217,95.08999786376953,100.11419223757827,106.65899963378907,99.1823100388589,102.51949996948242,0.016734987272182034,-0.20301624572233756,41.670306367927274
2025-02-27,84.7699966430664,93.62000274658205,84.16999816894531,91.91000366210938,99680500,91.63518180990359,90.78999786376953,97.32433849312156,103.39699935913086,97.80970876306914,102.76999969482422,-0.05083418474565271,-0.20231486477046734,38.65447694951495
2025-02-28,84.91999816894531,85.18000030517578,78.58000183105469,79.9800033569336,125977400,89.3967872629175,87.50399780273438,95.06900388872587,100.09799880981446,96.58211727791449,102.95499954223632,0.0017695119950340565,-0.16211150027171484,38.81204582384083
