date,ticker,lstm_pred
2025-06-30,AAPL,200.37572
2025-07-01,AAPL,199.23413
2025-07-02,AAPL,199.27068
2025-07-03,AAPL,199.87146
2025-07-07,AAPL,200.66185
2025-07-08,AAPL,201.4732
2025-07-09,AAPL,202.2298
